record_id,community_id,noc_code,noc_title,sector,year,is_secondary,restriction_notes,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status
sudbury|21330|2026,sudbury,21330,Mining Engineers,Natural and applied sciences and related occupations,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
sudbury|22100|2026,sudbury,22100,Chemical Technologists and Technicians,Natural and applied sciences and related occupations,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
sudbury|22300|2026,sudbury,22300,Civil Engineering Technologists and Technicians,Natural and applied sciences and related occupations,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
sudbury|22301|2026,sudbury,22301,Mechanical Engineering Technologists and Technicians,Natural and applied sciences and related occupations,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
sudbury|22303|2026,sudbury,22303,Construction Estimators,Natural and applied sciences and related occupations,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
sudbury|22310|2026,sudbury,22310,Electrical and Electronics Engineering Technologists and Technicians,Natural and applied sciences and related occupations,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
sudbury|31102|2026,sudbury,31102,General practitioners and family physicians,Health,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
sudbury|31301|2026,sudbury,31301,Registered nurses and registered psychiatric nurses,Health,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
sudbury|32101|2026,sudbury,32101,Licensed practical nurses,Health,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
sudbury|32109|2026,sudbury,32109,Other technical occupations in therapy and assessment,Health,2026,FALSE,,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.059Z,2026-09-10T21:07:36.059Z,active,FALSE,new
